terminal_id,station_name,comments
0x001140,Airport,
0x002140,Meenambakkam Metro,
0x003140,OTA - Nanganallur Road,
0x004140,Alandur,? Name shortened
0x005140,Guindy,
0x006140,Little Mount,
0x007140,Saidapet,
0x008140,Nandanam,
0x009140,Teynampet,
0x00A140,AG-DMS,
0x00B140,Thousand Lights,
0x00C140,LIC,
0x00D140,Government Estate,
0x00E140,Central,? Name shortened
0x00F140,High Court,?
,Mannadi,?
,Washermanpet,?
,Thyagaraya College Metro,?
,Tondiarpet,?
,New Washermanpet Metro,?
,Tollgate,?
,Kaladipet,?
,Thiruvotriyur Theredi Metro,?
,Thiruvotriyur,?
,Wimco Nagar Metro,?
,Wimco Nagar Depot,?
0x011140,St.Thomas Mount,?
0x012140,Alandur,? Name shortened
0x013140,Ekkattuthangal,?
0x014140,Ashok Nagar,?
0x015140,Vadapalani,
0x016140,Arumbakkam,
0x017140,CMBT Metro,Name shortened
0x018140,Koyambedu,
0x019140,Thirumangalam,
0x01A140,Anna Nagar Tower,
0x01B140,Anna Nagar East,
0x01C140,Shenoy Nagar,
0x01D140,Pachaiyappa's College,?
0x01E140,Kilpauk,?
0x01F140,Nehru Park,?
0x020140,Egmore,?
0x021140,Central,? Name shortened
